captain_id,signup_ts,city,vehicle_type,acquisition_channel,signup_zone_id,device_tier,app_language,age_band
CPT104359,01-01-2026 06:08,Pune,Auto,organic_app,PUN-Z23,low,kn,25-34
CPT120008,01-01-2026 06:52,Pune,Cab,referral,PUN-Z05,mid,mr,45+
CPT102049,01-01-2026 07:02,Hyderabad,Cab,organic_app,HYD-Z01,high,te,35-44
CPT123006,01-01-2026 07:15,Pune,Cab,organic_app,PUN-Z11,high,hi,25-34
CPT102642,01-01-2026 07:27,Bangalore,ERickshaw,gc_telecalling,BAN-Z06,low,hi,18-24
CPT105916,01-01-2026 07:32,Delhi,Cab,fos_field,DEL-Z20,high,hi,35-44
CPT123016,01-01-2026 08:02,Hyderabad,Cab,organic_app,HYD-Z13,low,hi,35-44
CPT103410,01-01-2026 08:20,Hyderabad,Auto,fos_field,HYD-Z20,mid,hi,45+
CPT107181,01-01-2026 08:24,Hyderabad,Auto,organic_app,HYD-Z16,low,en,25-34
CPT122385,01-01-2026 08:28,Hyderabad,Cab,paid_digital,HYD-Z17,low,en,25-34
CPT100037,01-01-2026 08:38,Delhi,Auto,fos_field,DEL-Z15,low,te,18-24
CPT110674,01-01-2026 08:39,Delhi,ERickshaw,paid_digital,DEL-Z19,high,te,18-24
CPT123379,01-01-2026 08:42,Delhi,ERickshaw,organic_app,DEL-Z18,low,hi,25-34
CPT122382,01-01-2026 08:54,Pune,Auto,organic_app,PUN-Z12,low,hi,25-34
CPT112371,01-01-2026 09:00,Pune,Auto,referral,PUN-Z05,low,mr,35-44
CPT115782,01-01-2026 09:10,Delhi,ERickshaw,paid_digital,DEL-Z15,mid,en,45+
CPT115990,01-01-2026 09:18,Hyderabad,Auto,fos_field,HYD-Z11,mid,hi,18-24
CPT117042,01-01-2026 09:22,Hyderabad,Auto,paid_digital,HYD-Z02,low,en,25-34
CPT124093,01-01-2026 09:24,Hyderabad,Cab,organic_app,HYD-Z13,low,te,45+
CPT108545,01-01-2026 09:43,Delhi,Cab,referral,DEL-Z06,low,kn,25-34
CPT118819,01-01-2026 09:44,Bangalore,Cab,referral,BAN-Z12,low,hi,35-44
CPT117473,01-01-2026 09:59,Bangalore,Auto,organic_app,BAN-Z17,low,te,35-44
CPT122490,01-01-2026 10:04,Hyderabad,Auto,organic_app,HYD-Z13,low,hi,45+
CPT108728,01-01-2026 10:07,Delhi,ERickshaw,organic_app,DEL-Z06,mid,mr,35-44
CPT111180,01-01-2026 10:12,Pune,Cab,gc_telecalling,PUN-Z06,mid,hi,25-34
CPT104874,01-01-2026 10:23,Delhi,ERickshaw,organic_app,DEL-Z05,low,te,25-34
CPT112334,01-01-2026 10:29,Bangalore,ERickshaw,referral,BAN-Z13,mid,te,25-34
CPT100614,01-01-2026 10:32,Pune,Auto,organic_app,PUN-Z18,mid,en,45+
CPT121214,01-01-2026 11:09,Delhi,Auto,referral,DEL-Z09,low,te,35-44
CPT119518,01-01-2026 11:16,Delhi,Cab,referral,DEL-Z15,high,kn,35-44
CPT104764,01-01-2026 11:21,Pune,Auto,fos_field,PUN-Z10,mid,hi,35-44
CPT101207,01-01-2026 11:31,Hyderabad,ERickshaw,fos_field,HYD-Z13,mid,kn,35-44
CPT103242,01-01-2026 11:33,Delhi,Cab,gc_telecalling,DEL-Z08,low,te,45+
CPT122017,01-01-2026 11:35,Pune,Cab,organic_app,PUN-Z21,mid,en,18-24
CPT116706,01-01-2026 11:42,Bangalore,Cab,gc_telecalling,BAN-Z09,low,kn,25-34
CPT121842,01-01-2026 11:47,Delhi,Auto,organic_app,DEL-Z11,low,kn,25-34
CPT115555,01-01-2026 11:56,Pune,Auto,organic_app,PUN-Z22,low,hi,18-24
CPT124771,01-01-2026 11:59,Hyderabad,Cab,organic_app,HYD-Z16,high,hi,25-34
CPT123806,01-01-2026 12:24,Bangalore,Cab,referral,BAN-Z23,mid,kn,25-34
CPT103112,01-01-2026 12:31,Bangalore,Auto,paid_digital,BAN-Z17,mid,hi,35-44
CPT124911,01-01-2026 12:37,Pune,Auto,referral,PUN-Z16,mid,hi,25-34
CPT117151,01-01-2026 12:56,Delhi,ERickshaw,fos_field,DEL-Z15,low,mr,25-34
CPT114694,01-01-2026 13:29,Delhi,Auto,fos_field,DEL-Z15,high,mr,25-34
CPT105361,01-01-2026 13:33,Bangalore,Cab,referral,BAN-Z17,low,te,45+
CPT122754,01-01-2026 13:47,Hyderabad,Cab,fos_field,HYD-Z04,mid,mr,25-34
CPT119361,01-01-2026 13:56,Delhi,Auto,organic_app,DEL-Z21,low,mr,18-24
CPT106310,01-01-2026 14:09,Delhi,Cab,organic_app,DEL-Z09,mid,hi,25-34
CPT114983,01-01-2026 14:16,Delhi,Auto,organic_app,DEL-Z24,low,hi,18-24
CPT104354,01-01-2026 14:21,Hyderabad,Auto,referral,HYD-Z15,mid,mr,35-44
CPT124428,01-01-2026 14:29,Hyderabad,Auto,organic_app,HYD-Z08,mid,hi,18-24
CPT118169,01-01-2026 14:31,Delhi,ERickshaw,gc_telecalling,DEL-Z03,mid,kn,45+
CPT108086,01-01-2026 14:39,Hyderabad,Cab,organic_app,HYD-Z07,mid,kn,45+
CPT100865,01-01-2026 14:47,Bangalore,Cab,referral,BAN-Z17,low,kn,18-24
CPT121574,01-01-2026 14:57,Hyderabad,ERickshaw,gc_telecalling,HYD-Z18,mid,hi,18-24
CPT104246,01-01-2026 15:08,Hyderabad,Auto,organic_app,HYD-Z17,mid,te,35-44
CPT105732,01-01-2026 15:35,Hyderabad,ERickshaw,paid_digital,HYD-Z09,mid,en,18-24
CPT118244,01-01-2026 15:41,Pune,Auto,organic_app,PUN-Z14,mid,mr,25-34
CPT116214,01-01-2026 15:42,Delhi,Cab,fos_field,DEL-Z13,low,te,25-34
CPT111071,01-01-2026 15:55,Bangalore,Auto,fos_field,BAN-Z22,low,mr,25-34
CPT118384,01-01-2026 15:56,Hyderabad,Auto,organic_app,HYD-Z11,mid,kn,18-24
